co_cli;cliente;ciudad;direccion_principal;direccion_temporal;latitud;longitud;corregida
409491196;INVERSIONES R&C 1817 C.A.;CARACAS;AV SUR 41 ENTRE ESQUINAS DE TORRES A VEROES EDIF LANDER MINICENTRO BOLIVAR PISO SOTANO LOCAL 51 URB CATEDRAL CARACAS DTTO FEDERAL;NULL;10.50754867;-66.91284604;NO
504154598;INVERSIONES MULTIMOTO 18 CA.;CARACAS;AV ESTE Y SUR 11, ESQUINA FERRENQUIN A MANDUCA LOTE DE TERRENO 123 LOCAL NRO SN SECTOR NO INDICA CARACAS DTTO CAPITAL;NULL;10.50516934;-66.90689694;NO
408183447;INVERSIONES CM CARS BLU C.A.;CARACAS;AVENIDA LOS SAMANES QTA NRO 40 URB LA FLORIDA CARACAS DTTO CAPITAL;NULL;10.50297163;-66.87658517;NO
500552041;REMPO 98 INC, C.A.;CARACAS;CALLE VENUS A QUEBRADA HONDA EDIFICIO VENUS LOCAL 6 SECTOR QUEBRADA HONDA CARACAS;NULL;10.50266716;-66.89642519;NO
502665242;INVERSIONES MALI 1318 C.A.;CARACAS;AV ESTE PUENTE VICTORIA A SAN LORENZO EDIF GALPON S/N PISO O LOCAL S/N URB LA CANDELARIA CARACAS DTTO. CAPITAL;NULL;10.50169679;-66.90816558;NO
504578223;GALAXIA LPG C.A.;CARACAS;CALLE TRANSVERSAL 3 QTA LA ITA NRO 4416 URB LOS PALOS GRANDES CARACAS (CHACAO) EDO MIRANDA;NULL;10.50094762;-66.84633939;NO
401877583;AUTOPERIQUITO LA CAMPI�A C.A.;CARACAS;AV 2 EL MIRADOR QTA SANTA EDUVIGIS NRO S/N LOCAL 1 URB LA CAMPI�A CARACAS EDO MIRANDA;NULL;10.50069313;-66.87867068;NO
503076658;AUTO ACCESORIOS VZLA, C.A.;;AV. PRINCIPAL DE SAN MARTIN LOCAL HOTEL EL OESTE NRO.01 URB. SAN MARTIN DTTO CAPITAAL;NULL;10.50005610;-66.92349807;NO
298834587;DISTRIBUIDORA AHMADAD 57 C.A.;CARACAS;AVENIDA LECUNA ESQUINA VELAZQUEZ EDF 96-A LOCAL 2 MUNICIPIO LIBERTADOR;NULL;10.50001973;-66.91419336;NO
500546114;COMERCIALIZADORA IREMI 637865, C.A.;CARACAS;AV QUITO EDIF VIZCAYA PISO 1 OFC 8 URB LOS CAOBOS PLAZA VENEZUELA CARACAS DTTO CAPITAL;NULL;10.49769779;-66.88267158;NO
314283715;ACC TIRES C.A.;CARACAS;CALLE B C/AVENIDA SANATORIO DEL AVILA CC CONJUNTO CENTER TORRE E NIVEL 7 OF 724-E URB BOLEITA NORTE CARACAS;NULL;10.49758897;-66.82330979;NO
306234373;AUTO REPUESTO MONTECARLO C.A.;CARACAS;AV ESTE 10 BIS ENTRE SUR 15 Y 17 CASA 59 SECTOR EL CONDE CARACAS DTTO CAPITAL;NULL;10.49755732;-66.90459487;NO
500780745;SERVICIOS LUVI C.A.;CARACAS;CALLE PARCELA 1, MANZANA L CASA S/N NRO S/N URB LA CASTELLANA CARACAS CHACAO EDO MIRANDA;NULL;10.49702005;-66.85384934;NO
1461485;CAUCHOS LOS TAVARES, C.A.;CARACAS;1ERA TRANVERSAL AV. SUCRE C/C LA LINEA DE LOS DOS CAMINOS. CARACAS.;NULL;10.49669355;-66.83338330;NO
468494;GENERAL DISTRIBUIDORA S.A. GEDISA;CARACAS;AV PRINCIPAL EDF CARI PISO PH APT PH URB BOLEITA NORTE CARACAS EDO MIRANDA;NULL;10.49598414;-66.82214832;NO
503376309;PANKI GARAGE C.A.;CARACAS;AV EL CARMEN CON 1RA TRANSVERSAL QTA VILLA MERCEDES NRO 1 URB LOS DOS CAMINOS CARACAS;NULL;10.49591726;-66.83015565;NO
304915039;MAQUINARIAS GIANPRO C.A.;CARACAS;AV 3RA ENTRE 1RA TRANSVERSAL Y ROMULO GALLEGOS CAS NRO 3 URB MONTECRISTO CARACAS EDO MIRANDA;NULL;10.49464334;-66.82655547;NO
