numero_pedido,fecha_pedido,fecha_vencimiento,monto_neto,codigo_cliente,nombre_cliente,direccion_cliente,ciudad_cliente,codigo_articulo,descripcion_articulo,cantidad_pedida,precio_unitario,prioridad
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA026R                      ,MOBIL SUPER 2000 10W30 API SP ILSAC GF-6A ( 12X0.95 LT),"4,000,000","6,500,000",Alta
272,6/13/2025 7:36,7/13/2025 7:36,9795.60,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA020R                      ,MOBIL SPECIAL ALTO KILOM 25W50 API SG (CAJA 12X0.95 LT),"400,000","6,120,000",Alta
273,6/13/2025 9:06,7/13/2025 9:06,2157.20,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA020R                      ,MOBIL SPECIAL ALTO KILOM 25W50 API SG (CAJA 12X0.95 LT),"200,000","6,120,000",Alta
273,6/13/2025 9:06,7/13/2025 9:06,2157.20,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA026R                      ,MOBIL SUPER 2000 10W30 API SP ILSAC GF-6A ( 12X0.95 LT),"500,000","6,500,000",Alta
273,6/13/2025 9:06,7/13/2025 9:06,2157.20,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA025R                      ,"MOBIL SUPER 2000 X1 10W40 API SN PLUS, ACEA A3/B3, MB 229.1 ( 12X0.95 LT)","500,000","7,100,000",Alta
273,6/13/2025 9:06,7/13/2025 9:06,2157.20,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOG002S                      ,MOBILGREASE XHP 222 COMPLEJO DE LITIO NLGI 2 DIN 51825-204-06-KP 2 N-20 (CART 40X0.39 KG),"200,000","23,390,000",Alta
273,6/13/2025 9:06,7/13/2025 9:06,2157.20,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOB024R                      ,MOBIL DELVAC LEGEND 1350 SAE 50  API CF / SF (PAILA 18.9 LT),"500,000","9,090,000",Alta
273,6/13/2025 9:06,7/13/2025 9:06,2157.20,302943116,DISTRIBUIDORA PRIME C.A.,CALLE 2DA CALLE LA INDUSTRIA LOCAL GALPON NRO. 54 ZONA INDUSTRIAL DE PALO VERDE CARACAS (PETARE) EDO MIRANDA,CARACAS,GMOA041R                      ,"MOBIL SUPER 3000 X4 5W40 API SP, ACEA A3 /B4, MB229.5, PORSCHE A40 ( CAJA 12X0.95LT)","500,000","8,650,000",Alta
2000000012,7/15/2025 12:50,7/15/2025 12:50,1560.00,313638889,"F1 LUBRICANTES I, C.A","CALLE JUNCAL EDIF. RIMEL PISO PB LOCAL 1 SECTOR LA ALCANTARILLA PUERTO CABELLO, PUERTO CABELLO CARABOBO",VALENCIA,GMOB031R                      ,"MOBIL DELVAC MODERN FULL PROTECTION 15W40 API CK-4, CJ4, CI4 PLUS, CI4, CH-4 SN ACE E7/E9  ( TAMBOR 208.2 LT)","100,000","156,000,000",Alta
293,7/9/2025 8:48,7/16/2025 8:48,3169.60,301724739,CONSTRUCCIONES Y PROYECTOS MAKA C.A.,CALLE BRUZUAL CASA MANZANA K2 NRO S/N URB ANDRES ELOY BLANCO PQUIA VISTA HERMOSA ANGOSTURA DEL ORINOCO CIUDAD BOLIVAR EDO BOLIVAR,CIUDAD BOLIVAR,GMOB031R                      ,"MOBIL DELVAC MODERN FULL PROTECTION 15W40 API CK-4, CJ4, CI4 PLUS, CI4, CH-4 SN ACE E7/E9  ( TAMBOR 208.2 LT)","100,000","121,600,000",Alta
